Binned Prediction Error Report: Distance
========================================

Generated: 2026-07-16 17:21:07
Generated by: plot_MeanPredictedvsReportedPM_byParams_1model
Figure label: Perceptual_25minNID_latentDmoon_absElevation
Binning by Distance minID=25
Binned group table model: predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation
Adaptive rebinning used: true

Model Error Across Iterations
-----------------------------
MeanAbsPctError is averaged across included bins within each iteration, then summarized across iterations.

Model                                                            MeanAbsPctError    StdAbsPctError    N_Iterations
-------------------------------------------------------------    ---------------    --------------    ------------
predicted_PM_latentDmoon_logPM_by_logAngleNDistanceNElevation            20.5359           3.44568             100

Sorted Error By Bin
-------------------
Rows are binned groups sorted from lowest to highest mean absolute percent error across all iterations.
Only bins with N_ID > 1 are included in plots and reports.
Bias is based on signed percent error averaged across all iterations.
VA, Distance, and Elevation ranges are the ranges of the source rows in each bin.

Rank    Group    N_ID    VA_Range       Distance_Range               Elevation_Range    MeanAbsPctError    StdAbsPctError    Bias         
----    -----    ----    -----------    -------------------------    ---------------    ---------------    --------------    -------------
   1       26      47    [0.56 0.56]    [357252000.0 357488000.0]    [7.0 46.0]                 5.74832           4.67077    Overpredicts 
   2       27      44    [0.53 0.55]    [360805000.0 374538000.0]    [4.0 32.0]                 7.19672           6.03863    Overpredicts 
   3        2      65    [1.38 1.38]    [17.1 17.1]                  [9.4 9.4]                  8.03489           6.45353    Underpredicts
   4       28      51    [0.52 0.53]    [379144000.0 381133000.0]    [5.0 32.0]                  8.0752           5.85226    Overpredicts 
   5        7      59    [7.15 7.15]    [23.3 23.3]                  [6.4 6.4]                   8.1033           5.00949    Underpredicts
   6        8      65    [0.78 0.78]    [29.9 29.9]                  [5.4 5.4]                  9.53961           7.53955    Underpredicts
   7        6      51    [1.03 1.03]    [22.7 22.7]                  [7.1 7.1]                  10.3837           7.39735    Underpredicts
   8       19      65    [0.38 0.38]    [61.2 61.2]                  [2.6 2.6]                  11.8813           8.22878    Underpredicts
   9       31       3    [0.49 0.49]    [404420000.0 404420000.0]    [5.0 19.0]                 13.5407           8.96571    Underpredicts
  10        9      52    [0.72 0.72]    [32.4 32.4]                  [5.0 5.0]                  14.1609           7.44642    Underpredicts
  11        3      30    [7.34 7.34]    [20.4 20.4]                  [7.3 7.3]                  14.2081           7.89373    Underpredicts
  12       14      52    [0.48 0.48]    [49.0 49.0]                  [3.3 3.3]                    14.21           8.84574    Underpredicts
  13       29       7    [0.52 0.52]    [386624000.0 386624000.0]    [2.5 19.0]                 16.1112           12.2444    Underpredicts
  14       30      12    [0.50 0.50]    [395236000.0 395236000.0]    [12.0 25.0]                  16.28           8.17776    Underpredicts
  15        1      64    [0.85 0.85]    [15.2 15.2]                  [2.5 2.5]                  16.2905           10.9951    Overpredicts 
  16       24      36    [1.10 1.10]    [151.0 151.0]                [1.0 1.0]                  16.7611           10.5074    Underpredicts
  17       23      65    [1.55 1.55]    [107.0 107.0]                [1.4 1.4]                  18.1673           9.07491    Underpredicts
  18       22      52    [0.35 0.35]    [66.8 66.8]                  [2.4 2.4]                  19.4869           11.7598    Underpredicts
  19        4      30    [1.15 1.15]    [20.4 20.4]                  [7.9 7.9]                  20.1909           9.24767    Underpredicts
  20       18      65    [2.71 2.71]    [61.2 61.2]                  [2.4 2.4]                  22.5756           8.41259    Underpredicts
  21       25      27    [1.09 1.09]    [151.9 151.9]                [1.0 1.0]                  26.2238           13.5845    Underpredicts
  22       11      30    [4.34 4.34]    [34.3 34.3]                  [4.4 4.4]                  26.8251           9.79445    Underpredicts
  23       21      30    [0.37 0.37]    [62.9 62.9]                  [2.6 2.6]                  28.2328           11.5027    Underpredicts
  24       20      30    [2.36 2.36]    [62.9 62.9]                  [2.4 2.4]                  29.9753           13.5299    Underpredicts
  25       12      30    [0.68 0.68]    [34.3 34.3]                  [4.7 4.7]                  30.1897           10.5434    Underpredicts
  26       16      30    [0.46 0.46]    [50.3 50.3]                  [3.2 3.2]                  32.2351           11.3224    Underpredicts
  27       15      30    [2.95 2.95]    [50.3 50.3]                  [3.0 3.0]                  32.9058           10.3912    Underpredicts
  28       10      30    [0.96 0.96]    [32.7 32.7]                  [0.9 0.9]                  35.5913           18.6939    Overpredicts 
  29       17      30    [0.52 0.52]    [60.6 60.6]                  [0.5 0.5]                  36.9343           21.5192    Overpredicts 
  30       13      30    [0.67 0.67]    [47.2 47.2]                  [0.6 0.6]                  38.2247           18.9455    Overpredicts 
  31        5      30    [1.51 1.51]    [20.8 20.8]                  [1.4 1.4]                  48.2779           26.2378    Overpredicts 

